friends,followes,date
0,0,819
0,0,818
0,0,818
0,0,814
457911,402901,809
0,0,811
0,0,814
0,0,804
0,0,790
0,0,803
0,0,815
0,0,812
0,0,819
330704,318461,819
118605,114819,819
79800,79476,805
21813,22456,805
0,0,817
0,0,818
0,0,819
0,0,816
12055,11750,797
942649,944949,818
0,0,815
231947,228432,811
46824,46236,817
42042,41347,811
0,0,818
0,0,816
0,0,819
111722,106126,817
46824,46236,809
823844,815195,814
537448,523515,817
247459,141328,820
0,0,794
0,0,815
0,0,811
0,0,813
149787,144566,806
9916,9353,814
0,0,800
0,0,807
247459,141328,817
0,0,811
111722,106126,815
0,0,790
0,0,814
0,0,814
0,0,812
0,0,803
127093,128617,818
246043,515530,818
0,0,799
34512,34121,798
4157,4344,808
9916,9353,798
823844,815195,808
0,0,813
0,0,820
0,0,820
0,0,813
0,0,819
127093,128617,815
44979,43167,805
628597,617338,805
0,0,818
0,0,818
10149,9905,807
0,0,809
942649,944949,820
37718,36462,815
0,0,813
0,0,817
0,0,791
127093,128617,818
0,0,792
537448,523515,819
4949,4925,812
0,0,814
31190,31215,819
0,0,818
149787,144566,813
0,0,818
